Id,Id Provincia,Distrito,Zona sismica,Latitud,Longitud
754,72,HUARO ,2,-13.6901139,-71.640723
755,72,LUCRE ,2,-13.6337607,-71.7363891
756,72,MARCAPATA ,2,-13.5917395,-70.9747666
757,72,OCONGATE ,2,-13.6270195,-71.3883538
758,72,OROPESA ,2,-13.5944776,-71.7633315
759,72,QUIQUIJANA ,2,-13.8226604,-71.5421519
760,72,URCOS ,2,-13.6879153,-71.6255835
761,73,ACCHA ,2,-13.971146,-71.8315418
762,73,CCAPI ,2,-13.8532331,-72.0818183
763,73,COLCHA ,2,-13.8510251,-71.8030624
764,73,HUANOQUITE ,2,-13.6816043,-72.0174185
765,73,OMACHA ,2,-14.0696667,-71.7380878
766,73,PACCARITAMBO ,2,-13.7565865,-71.9564872
767,73,PARURO ,2,-13.916667,-71.916667
768,73,PILLPINTO ,2,-13.9535853,-71.7608304
769,73,YAURISQUE ,2,-13.6631911,-71.9216442
770,74,SICUANI ,2,-14.2729288,-71.2265322
771,74,COMBAPATA ,2,-14.1015949,-71.4296335
772,74,MARANGANI ,2,-14.3573737,-71.1686419
773,74,PITUMARCA ,2,-13.9803842,-71.4173328
774,74,SAN PABLO ,2,-14.201866,-71.31498
775,74,SAN PEDRO ,2,-14.1864622,-71.3435744
776,74,CHECACUPE ,2,-14.0251714,-71.4535654
777,74,TINTA ,2,-14.1456699,-71.4071824
778,75,CHECCA ,2,-14.4734175,-71.3942846
779,75,KUNTURKANKI ,2,-14.5267446,-71.2943347
780,75,LANGUI ,2,-14.4324797,-71.2728865
781,75,LAYO ,2,-14.493941,-71.1551204
782,75,PAMPAMARCA ,2,-14.1473692,-71.4598346
783,75,QUEHUE ,2,-14.3801173,-71.4553181
784,75,TÚPAC AMARU ,2,-14.1501198,-71.5272851
785,75,YANAOCA ,2,-14.2169433,-71.4320333
786,76,ACOMAYO ,2,-13.916667,-71.666667
787,76,ACOPIA ,2,-14.057335,-71.4929519
788,76,ACOS ,2,-13.9512794,-71.738232
789,76,MOSOC LLACTA ,2,-14.1204504,-71.4727454
790,76,POMACANCHI ,2,-14.0348231,-71.5709789
791,76,RONDOCÁN ,2,-13.7792824,-71.7818597
792,76,SANGARARA ,2,-13.9472154,-71.6035061
793,77,CCORCA ,2,-13.5844728,-72.0592279
794,77,CUSCO ,2,-13.5250022,-71.9923942
795,77,POROY ,2,-13.4955245,-72.043601
796,77,SAN JERÓNIMO ,2,-13.5585733,-71.8883114
797,77,SAN SEBASTIÁN ,2,-13.5336964,-71.9221574
798,77,SANTIAGO ,2,-13.5702931,-71.9920183
799,77,SAYLLA ,2,-13.5702475,-71.8271365
800,77,WANCHAQ ,2,-13.5203257,-71.970999
801,78,ECHARATE ,2,-12.2758235,-72.6886897
802,78,HUAYOPATA ,2,-13.0038895,-72.5929645
803,78,MARANURA ,2,-12.963611,-72.6646521
804,78,OCOBAMBA ,2,-12.8911407,-72.4320222
805,78,PICHARI ,2,-12.5201296,-73.8282497
806,78,QUELLOUNO ,2,-12.6363708,-72.5570935
807,78,KIMBIRI ,2,-12.6203873,-73.7885096
808,78,SANTA ANA ,2,-12.860782,-72.7440796
809,78,SANTA TERESA ,2,-13.1301673,-72.594278
810,78,VILCABAMBA ,2,-13.1203657,-72.9767532
811,78,MEGANTONI ,2,-11.7170773,-72.9098103
