Id,Id Provincia,Distrito,Zona sismica
513,48,LOS MOROCHUCOS ,3
514,48,MARÍA  PARADO  DE ,3
515,48,BELLIDO ,3
516,48,PARAS ,3
517,48,TOTOS ,3
518,49,COLTA ,3
519,49,CORCULLA ,3
520,49,LAMPA ,3
521,49,MARCABAMBA ,3
522,49,OYOLO ,3
523,49,PARARCA ,3
524,49,PAUSA ,3
525,49,SAN  JAVIER  DE ,3
526,49,ALPABAMBA ,3
527,49,SAN JOSÉ DE USHUA ,3
528,49,SARA SARA ,3
529,50,BELÉN ,3
530,50,CHALCOS ,3
531,50,CHILCAYOC ,3
532,50,HUACAÑA ,3
533,50,MORCOLLA ,3
534,50,PAICO ,3
535,50,QUEROBAMBA ,3
536,50,SAN PEDRO DE LARCAY ,3
537,50,SAN  SALVADOR ,3
538,50,QUIJE ,3
539,50,SANTIAGO PAUCARAY ,3
540,50,SORAS ,3
541,51,ALCAMENCA ,3
542,51,APONGO ,3
543,51,ASQUIPATA ,3
544,51,CANARIA ,3
545,51,CAYARA ,3
546,51,COLCA ,3
547,51,HUAMANQUIQUIA ,3
548,51,HUANCAPI ,3
549,51,HUANCARAYLLA ,3
550,51,HUALLA ,3
551,51,SARHUA ,3
552,51,VILCANCHOS ,3
553,52,CHUMPI ,3
554,52,CORACORA ,3
555,52,CORONEL CASTAÑEDA ,3
556,52,PACAPAUSA ,3
557,52,SAN  FRANCISCO  DE ,3
558,52,RIVACAYCO ,3
559,52,UPAHUACHO ,3
560,52,PULLO ,4
561,52,PUYUSCA ,4
562,53,AUCARA ,3
563,53,CABANA ,3
564,53,CARMEN SALCEDO ,3
565,53,CHAVIÑA ,3
566,53,CHIPAO ,3
567,53,LUCANAS ,3
568,53,PUQUIO ,3
569,53,SAN JUAN ,3
570,53,SAN PEDRO DE PALCO ,3
571,53,SANTA  ANA  DE ,3
572,53,HUAYCAHUACHO ,3
573,53,HUAC-HUAS ,4
574,53,LARAMATE ,4
575,53,LEONCIO PRADO ,4
576,53,LLAUTA ,4
577,53,OCAÑA ,4
578,53,OTOCA ,4
579,53,SAISA ,4
580,53,SAN CRISTÓBAL ,4
581,53,SAN PEDRO ,4
582,53,SANCOS ,4
583,53,SANTA LUCIA ,4
584,54,BAMBAMARCA ,2
585,54,CHUGUR ,2
586,54,HUALGAYOC ,2
587,55,CHIRINOS ,2
588,55,HUARANGO ,2
589,55,LA COIPA ,2
590,55,NAMBALLE ,2
591,55,SAN IGNACIO ,2
592,55,SAN JOSÉ DE LOURDES ,2
593,55,TABACONAS ,2
594,56,CELENDÍN ,2
595,56,CHUMUCH ,2
596,56,CORTEGANA ,2
597,56,HUASMÍN ,2
598,56,JORGE CHÁVEZ ,2
599,56,JOSÉ GÁLVEZ ,2
600,56,LA LIBERTAD DE PALLÁN ,2
601,56,MIGUEL IGLESIAS ,2
602,56,OXAMARCA ,2
603,56,SOROCHUCO ,2
604,56,SUCRE ,2
605,56,UTCO ,2
606,57,CALLAYUC ,2
607,57,CHOROS ,2
608,57,CUJILLO ,2
609,57,CUTERVO ,2
610,57,LA RAMADA ,2
611,57,PIMPINGOS ,2
612,57,SAN  ANDRÉS  DE ,2
613,57,CUTERVO ,2
614,57,SAN JUAN DE CUTERVO ,2
615,57,SAN LUIS DE LUCMA ,2
616,57,SANTA CRUZ ,2
617,57,SANTO DOMINGO DE LA CAPILLA ,2
618,57,SANTO TOMÁS ,2
619,57,SOCOTA ,2
620,57,TORIBIO CASANOVA ,2
621,57,QUEROCOTILLO ,3
622,58,BELLAVISTA ,2
623,58,CHONTALI ,2
624,58,COLASAY ,2
625,58,HUABAL ,2
626,58,JAÉN ,2
627,58,LAS PIRIAS ,2
628,58,SAN JOSÉ DEL ALTO ,2
629,58,SANTA ROSA ,2
630,58,POMAHUACA ,3
631,58,PUCARÁ ,3
632,58,SALLIQUE ,3
633,58,SAN FELIPE ,3
634,59,GREGORIO PITA ,2
635,59,ICHOCÁN ,2
636,59,JOSÉ MANUEL QUIROZ ,2
637,59,JOSÉ SABOGAL ,2
638,59,CHANCAY ,3
639,59,EDUARDO VILLANUEVA ,3
640,59,PEDRO GÁLVEZ ,3
641,60,ANGUIA ,2
642,60,CHADIN ,2
643,60,CHALAMARCA ,2
644,60,CHIGUIRIP ,2
645,60,CHIMBÁN ,2
646,60,CHOROPAMPA ,2
647,60,CHOTA ,2
648,60,CONCHÁN ,2
649,60,LAJAS ,2
650,60,PACCHA ,2
651,60,PIÓN ,2
652,60,TACABAMBA ,2
653,60,COCHABAMBA ,3
654,60,HUAMBOS ,3
655,60,LLAMA ,3
656,60,MIRACOSTA ,3
657,60,QUEROCOTO ,3
658,60,SAN JUAN DE LICUPIS ,3
659,60,TOCMOCHE ,3
660,61,SITACOCHA ,2
661,61,CACHACHI ,3
662,61,CAJABAMBA ,3
663,61,CONDEBAMBA ,3
664,62,ENCAÑADA ,2
665,62,ASUNCIÓN ,3
666,62,CAJAMARCA ,3
667,62,CHETILLA ,3
668,62,COSPÁN ,3
669,62,JESÚS ,3
670,62,LLACANORA ,3
671,62,LOS BAÑOS DEL INCA ,3
672,62,MAGDALENA ,3
673,62,MATARA ,3
674,62,NAMORA ,3
675,62,SAN JUAN ,3
676,63,CHILETE ,3
677,63,CONTUMAZÁ ,3
678,63,CUPISNIQUE ,3
679,63,GUZMANGO ,3
680,63,SAN BENITO ,3
681,63,SANTA CRUZ DE TOLEDO ,3
682,63,TANTARICA ,3
683,63,YONÁN ,3
684,64,BOLÍVAR ,3
685,64,CALQUIS ,3
686,64,CATILLUC ,3
687,64,EL PRADO ,3
688,64,LA FLORIDA ,3
689,64,LLAPA ,3
690,64,NANCHOC ,3
691,64,NIEPOS ,3
692,64,SAN GREGORIO ,3
693,64,SAN MIGUEL ,3
694,64,SAN  SILVESTRE  DE COCHÁN ,3
695,64,TONGOD ,3
696,64,UNIÓN AGUA BLANCA ,3
697,65,SAN BERNARDINO ,2
698,65,SAN LUIS ,2
699,65,SAN PABLO ,2
700,65,TUMBADÉN ,2
701,66,ANDABAMBA ,2
702,66,CATACHE ,2
703,66,CHANCAYBAÑOS ,2
704,66,LA ESPERANZA ,2
705,66,NINABAMBA ,2
706,66,PULÁN ,2
707,66,SANTA CRUZ ,2
708,66,SAUCEPAMPA ,2
709,66,SEXI ,2
710,66,UTICYACU ,2
711,66,YAUYUCÁN ,2
712,67,BELLAVISTA ,4
713,67,CALLAO ,4
714,67,CARMEN DE LA LEGUA REYNOSO ,4
715,67,LA PERLA ,4
716,67,LA PUNTA ,4
717,67,VENTANILLA ,4
718,67,MI PERÚ ,4
719,68,CALCA ,2
720,68,COYA ,2
721,68,LAMAY ,2
722,68,LARES ,2
723,68,PISAC ,2
724,68,SAN SALVADOR ,2
725,68,TARAY ,2
726,68,YANATILE ,2
727,69,CHINCHERO ,2
728,69,HUAYLLABAMBA ,2
729,69,MACHUPICCHU ,2
730,69,MARAS ,2
731,69,OLLANTAYTAMBO ,2
